essay_id,prompt,essay,score
15350,6,"The builders of the Empire State Building faced obstacles in attempting to allow dirigibels to dock there. The main reason the diriibles couldn't dock there was because the dirigbles load. The load would cause stress. The wind pressure also is another reason dirigbles couldn't dock there. ""The wind pressure would have to be transmitted all the way to the building's foundation."" The dirigbles were docked by means of an electric winch. The electric winch was fine but, it also says ""the dirigible could swing in the breeze"" this could have been a safety concern also.",3.0
3004,2,"People are entitile to their own oppinion about things. What someone might find offensive someone else might not.           Libraries should be able to put anything that might interest a person who educate someone on there shelves wether people get offended or not. If we went by what everyone said we probably wouldnt have anything on the library shelves. People will find something wrong with everything a person can put out thats just human nature.              I have read nonfiction books and saw movies that are based on true storys that have used word and language that some people might find offensivc but how are people going to express their feelings and educate people without offending someone.                How are we suppose to teach history without telling the whole story. Slavery and the @PERSON1 were a horrible things that happened and teaching about it is important so that it does not happen again. It would be hard to teach about these horrible events without offending people.                     I believe that we should put these materials on out library shelves anyway, and if people do not like it then do not check them out or look at them. That's my opinion what's yours",4.0
3907,2,"I do not think that any books should be taken out of libraries because they are found 'offensive'. Something that is offensive to me @MONTH1 not be offensive to another. Although I have all the right in the world to object to a book that I find inappropriate, somebody else might believe that that book is completely appropriate. The main issues that most people have with books are foul language, sex, and difference in opinion. These three catagories are very sensitive issues, some @MONTH1 not be comfortable disscussing these issues.      Many books in the library systems today contain foul language. Surprising enough a majority of the indecent language can be found in the young adult section. I don't believe that parents would be very happy to know what their children are reading.     In our modern day world we are bombarded with images of sex and indecency. Books containing obscure acts are no different from television or magazines. Most romance novels are very descriptive and leave little room for imagination, and in the wrong hands can lead to some very prompting questions.      Difference in opinion can be a big problem for some libraries if patrons do not like the message a book sends. Religion, politics, and morals can lead to some nasty debates, but sometimes we have to just agree to disagree.       Can teenagers handle that kind of language and sexuality in a responsible way? Should the books be taken off the shelf just on the basis that we don''t agree with what it says? Should there be a sensor on what can and can't be put in libraries? I dont think that any books should be taken off of library shelves. If you don't agree with the book then don't read it. Instead of blaming libraries for what your children read, perhaps you should look at your own parenting and make sure they arn't reading something they shouldn't",4.0
3010,2,"Many people believe that magazines, books, movies, music, posters, plus some other kind of bad stuff that parents don't want there @CAPS1 to see. Some of the stuff they might have in the are books about different colored people, maybe there might also have some terrible things about that colored skin hairitage, @CAPS1 that are to young to be looking at stuff that is in these books. A lot of the @CAPS2 Libraries have these things speard around all over the store.     Some of these people that get these books might need to have a good heart about what the book is saying about the skin color. If they don't like what the book and what it has to say then don't get that book. Because you can't change the way the author wrote the story, music, movie, poster. But most the people that I know that are different colored are pretty hilarious and sometimes make jokes about it.      Maybe there might also be some pretty terrible things said in the book",3.0
3293,2,"Recently the growing issue of censorship in libraries came to my attention. This is unfortunent in the extreme. People have a right to unmolested knowledge and censoring libraries is a direct violation of that right. Libraries are meant to be a place of learning and they should be kept that way.     History is filled with moments both glorious and inglorious. We aren't always proud of want we do or what happens but those events remain, irrespective of whether or not we choose to acknowledge it. To think turning a blind eye to the less than clean will make it go away is not only unrealistic but also totally ignorent of facts.     I realise that there are some things chilldren should not see or hear and I'm not suggesting we expose them to these things. I'm merely saying that trying to hide them from what we deem to be unclean is neither right nor a good idea in general. We can't shelter our children forever and sooner or latter they will learn things we wish they didn't. This is inevitable. Life doesn't seek to hide its darker side from us at all and to hide it from our children will serve little more than to handicap them. Do children need to be protected for some things? Yes, for a time, they do but it is the role of the induvidual parent to protect their child. Protect the children but don't do so at the expence of everyone else.     Why should the views of some hinder all others? Those who would persume to know what people should see and what they should not are out of touch. Those prudish enough to believe that people need to be protected for natural, form history, or from their own desires have no more right, and preahaps even less than everyone else to interfere with induvidual decision making. People have a right to make their own choices on what them believe but no right to force those oppinions on others.       This essay @MONTH1 make no difference but it has said what needed to be said and thus served it's purpose. With that task completed I can finnish with a good concious.",4.0
15741,6,"The obstacles the builders faced in building the Empire State Building were nature. ""The winds on top of the building were constantly shifting due to violent air currents."" ""Dirigibles moored in open landing fields could be weighted down in the back with lead weights, but using these at the Empire State Building, where they would be dangling high above pedestrians on the street, was neither practical nor safe."" The size was a problem along with how high they were in the sky. ""A thousand-foot dirigible moored at the top of the building, held by a single cable tether, would add stress to the building's frame."" @CAPS1 were the obstacles.",3.0
15921,6,"From the excerpt ""The Mooring Mast"", There were multiple obstacles the builders of the Empire State Building faced. In attempting to allow dirigibles to dock there. One of the obstacles the builders faced was the agianst airships flying too low over urban areas. The law would make it illegal for ship to ever tie up to the building or ever approach the area. Another obstacle the builders faced was forceful winds. ""The U.S. Navy dirigible Los Angeles approached The mooring mast but could not get close enough To tie up because of forceful winds."" The greatest obstacle was the winds on top of the building were constantly shifting due to the violent air currents. The back of the ship would swivel around and around the mooring mast. The last obstacle was the dirigible wasn't safe to have dangling high about pedestrians.",3.0
4487,2,"There a lot of things to life and sometimes we do need as much help as we can get. Sometimes people will do anything to get help or go anywhere to find it. Because when people feel lost it's the most scraest thing to a person. So they turn to reading books, listening to music, watching movies, also looking and reading magazins. But although thats not the best way you can go there times when you need to listen to your soul the most.     Now there was a time when know one knew how to read or even was a loud to read. But now adays reading as taking over. If you can read you can do anything , you could be the one to run to whole world one day if you read things right.      Books and magazins there are is not a big different between the two. Books can take you mind off some where that you  have never seen before and places like the wild, @LOCATION2, @LOCATION1, @CAPS1's, and high up and trees. It teaches you @LOCATION1 thing  but not every thing it teaches is good. Books can lie about whats about to happen to the world. Now magazing show you what all the starts are doing and how there living and what there house looks like and there money their begin home. There one thing you have to understand you can't always get scraed and thing what you reading is right you have to read your mind it see what it says about what you just read.     When you hear your favtor song what do you or when you see your favtor movie? Do start dancing or do you cry when they break up, do you say I can sing like her or do you rein act the part in the movie. These things can help you or make you think about things you shouldn't do to people or even to yourself.     Music can make you think about what your life has been throw or miss the person that  has died because they listen to that one song so much. Music can talk you in to killing yourself drive you crazy, hurt your soul when hear what someone else has been throw. Its all about how you take the song when you first hear it and take the messages out of it.     Movies show history and show you want happens to people when they do the wrong things what will happen to them. There could be a ican in the movie your watching and could want to be like him/her. But not everyone you see you shouldn't want to be like them. You have to be yourself at the end of the day. Because you wake up looking at you everyday and love you everyday and take care of you everyday.     When it's all said and done you have to belive in yourself and  not listen to what everyone is trying you. Go with you soul. Yes listening to it or read or even watching ir but just remember flow your deams and do what you love. So thants what I thing about music,books,movie and magazing listen but don't listen at the same tim",3.0
3248,2,"No, I don't think books are offensive in librarys. Movies are a different kind of story if you child is under the age of eighteen they should not be renting a rated @CAPS1 movie, unless their parent approves of it.      This is one reason why our public library should not have rated @CAPS1 movies. While i was in our public library one afternoon I was looking at the movie selection, i was tring to decide which movie to chose. There was a little boy, at the age of nine or ten it looked liked to me, but he had two movies in his hand. They looked really good it was an action type movie, so i asked the boy if i could see the movie really fast. He asid yes, so i grabbed it from him and looked at the rating because from the title picture it looked gory. I noticed it was a rated @CAPS1 movie, and i told the boy did u know this is a rated @CAPS1 movie and he said yes, I was surprised his parents would let him watch movies like that, if i was his age i would never been able to.      My second reason why our public library should get rid of any kind of swimsuit magazines like @CAPS5 and/or @CAPS6 magazines. I was looking at the magazine rack one day and noticed magazines like @CAPS5,swimsuit magazines and many more. Do you think your children should not have seen any kind of magazines like that in our libray for the public to see. If a little girl went to the magazine rack and saw that magazine, she would either want to look at it or act like she not even noticed it. At her age she wants someone to look up to and if she sees a model on or in the magazine she would want to possibly look like her, so this is how eatting disorders start. This is the  reason why library's should get rid of any kind of magazines under that catagory.     These are the reason why I think our local library should get rid of rated @CAPS1 movies and/or Magazines like @CAPS5 and @CAPS6. If you agree with me contact your libray and tell them what i have told you today. @MONTH1 we put a stop to censorship in our librarys.",4.0
14999,6,"In order for the Empire State Building to dock dirigibles (blimps), many obstacles had to be overcome by the architects. One of those obstacles was the Empire State Building's frame. If a thousand-foot dirigible was moored on top of the building with just a single cable tether, it would add tremendous stress to the foundation of the building due to the dirigibles load and wind pressure. Another obstacle that the architects faced was safety. Because dirigibles in the @LOCATION2 used hydrogen, a highly flammable gas, instead of helium, there was a high risk of the dirigible exploding, and threatening the dense population of downtown New York City. Possibly the greatest obstacle that the architects had to face was high winds. On top of the Empire State Building, the winds were constantly shifting due to violent air currents. Even if lead weights could be used to weigh down and control the docked dirigible, they would still be unsafely dangling about the pedestrians of the streets below. Those are some obstacles that the architects of the Empire State Building faced in an attempt to dock dirigibles.",4.0
3857,2,"I think that some material should be removed from the shelves if they are racist or contain unsightly images. But that brings up the question about racism almost all of the classic books have some form of racism in them such as To @CAPS1 a @CAPS2 @CAPS3 that book uses the @CAPS4 word to describe african americans, but when that book was published that was common talk now people look at you like you have just murdered there first born child if youu were to use that word.      For the most part though books are not all that offensive at least none of the books I read. I know that there are books and magazines such as playboy and maxim that are offensive to women and have probably cause a lot of breakups and divorces, but they have laws on who are able to buy things like that. I know that kids still have a way of owning magazines like that but they are a small percentage of the kids.     I know that during @CAPS5 @CAPS6 @CAPS7 over in germany many books were banded because they had something to do with catholicism or something that @PERSON3 believed was bad and not what he believed was the perfect race. I know that for a short time alot of what @PERSON2 wrote was banned for using the @CAPS4 word but people have to realize that when @PERSON2 was alive that was everyday laungage.     As for me being catholic there is a codex of forbidden books that is a list of books that I am not supposed to read as a good catholic. I have no idea what those books are and what got them on this list but they must be very rude and vulgar to be on this list. I can see how some of those books could be banned.     As for music I think that the only music that should be banned is the kind of music that talks about killing police officers and hurting the people that are trying to make our country a safer place. I know that all of this rap genre is what my generation is into even though I dont see why kids like that kind of music. I also think that music produced by the arian brotherhood should not be allowed in libraries because there music is overtly racist.     I dont think that movies shouyld be banned form the libraries because of violence or anytning of that nature. I do think that the movie should be banned if it contians anything of the nature of pornagraphy but they do not let those kinds of movie in the libraries anyway  so they are a step ahead of me.     I do have to agree with Katherine Paterson on what she said that if I have those rights then everyone else does to and there will be no books on the shelves because someone will find that offensive then someone else will find something else offensive and soon eventually there will be no books left on the library shelves. My view of what I think is offensive is very relaxed compared to other's I do not get offended at a lot of things",3.0
14958,6,"The obstacles the builders of the Empire State Building faced in attempting to allow dirigibles to dock there were that most dirigibles used hydrogen rather than helium, and hydrogen is highly flammable."" Another reason was the wind. The winds on top of the building were ""constantly shifting due to violent air currents."" It will not be safe for the pedestrians below the Empire State Building.",2.0
4035,2,"Readers of the @ORGANIZATION1,     Censorship in libraries should never be an issue. It is a very simple concept. Obviously, no one wants their children being exposed to inappropriate reading material or movies. If a child wishes to visit the public library, their parents shouldn't have to worry about what their children will be looking at there. A library should be a family-friendly place where children can get together for story time, or where college students can study. I remember going to the library all the time when I was younger. I would read a different story every week with a large group of kids in the community. It was something I enjoyed doing. Don't you want your community library to be a place where children can learn and enjoy themselves?     Unfortunately, some libraries do have offensive reading material, movies, music, etc. It is the responsibility of the library employees to put these offensive materials in the adult reading section of the building. Parents should tell their children that the adult section is off-limits, and the library employees should keep children from every being in that restricted area. These items @MONTH1 be offensive to some people, and they @MONTH1 be too inappropriate for children. However, there are some readers who have the right to look at these materials if they want. That's why they shouldn't be taken off of the shelves completely, just removed from the rest of the books, music, movies, etc.      I am not one to deny anyone their rights. Even though I don't personally see the need for offensive reading materials in a public library, that doesn't mean that someone else shouldn't get to view these items. All in all, we have to be fair. Would you want someone taking away your right to do something you like to do because they find it offensive? No, nobody wants that. However, we still have to be reasonable about it. If there are going to be adult reading materials in a community library, they have to be in an area where children aren't allowed. It's just common courtesy, and everyone has to cooperate. This is why censorship in libraries should never be an issue. I hope that you can see it my way, and help me in fixing this issue once and for all.                                             Sincerely,                                                  @LOCATION1",3.0
15411,6,"In attempting to allow dirigibles to dock at the Empire State Building, the builders encountered major obstacles. The first puzzle posed to the builders concerned the structure. They realized that, ""the stress of the dirigible's load and wind pressure would have to be transmitted... to the building's foundation."" This reality caused builders to spend over @MONEY1 modifying the building. Although the builders were able to rectify the framework of the building, the later obstacles were unable to be conquered. After the Hindenburg accident in 1937 ""the owners of the Empire @CAPS1 Building realized how much worse that accident could have been"" if the dirigible had exploded over New York City. The safety of the city became a concern. Until the blimps were less flammable, it wasn't plausible to take the risk of housing them in densely populated areas. The final obstacle of the success of the mooring mast was ""nature itself."" The violent winds that whipped around the 101st and 102nd floors would spin the dirigibles around the mooring mast. This was ""neither practical or safe."" Overall, the obstacles the builders faced proved to be fatal to the success of the mooring mast.",4.0
4209,2,"The ideas conveyed by literature, music, and movies are an art.  They cannot be explained in any other way than themselves, and if we take away the right to produce or the right to sell these masterpieces, then the world loses something of itself.     Censorship is the underlying problem to many things.  It takes away the expression of human thought and emotion- emotions like greed, love, fear, and the ability to empathize that are conveyed in books and films.  If people think it's offensive, they simply can't take the truth.       Many people can only express themselves in their art- and art can be very real.  So real that we don't think that it's possible.  We don't want to believe something like 'The @CAPS1' could happen.  'The @CAPS1' is a short story in which kids get together and rob an old man's home.  Because this man is very rich, he has lots of material wealth.  Then they burn down the house with the man's belongings still in it.  Needless to say, this story has been banned from many schools and libraries.  But what many don't understand is why would the kids burn down the house.  Many think that the kids just want to see it burn, to destroy what is so cherished, or that the love of material things is making us greedy.  It is this that makes us think, and therein lies the problems with censorship.  If we censor something that makes us think this hard about who we are and what we do here, then we begin to lose ourselves.     The loss of books has been seen throughout history.  Most prominantly, the nazi regime.  In the beginning of their control of power, they banned certain books that went against the nazi ideals.  The censorship escalated into the nazis burning books in large piles. This communal burning would make it easier to control the public mindset.  The movement swelled and the  @CAPS3 people soon developed a national pride and goal.  By the @DATE1's, nearly every @CAPS3 who could read had read '@CAPS5 @CAPS6'.  The censorship had turned into an all-out war on classical literature and the promotion of nazi ideas.  That was how @CAPS7 was actually voted in.  Many don't realize, but the @CAPS8 actually did vote @CAPS7 to be leader.  Now that the nazis had destroyed the publics ideals, they were replaced with the nazi's own.     The banning of media can only lead to a general lack of self knowledge.  The human mindset can only be expressed through the art which the human creates.  If we try to explain it, we soon get lost in our words.  The use of verbal and visual examples is the only way we learn who we are.  Censorship has never ended in something good- only the promotion of something bad.  If we let our media get banned, we lose the right to have ideas of our own.",4.0
3417,2,"hey what book is that lets me see it because I don't think I want you to read it because it is to graphic for a @NUM1 year old boy. This is what some parents might say to their child if they don't want them to read a certian kind of book or even a certin book. I feel that censorship is not needed in libraries, because either way the kids will be exposed to something the parents don't want them to see sooner or later      I do not belive that any one has thr rite to remove anything from the shelves except the library. The can go ahead and complain that they dont't want it there. But if the library has it the library should be able to keep it there wheathere or not people don't want it there. I think the only real people that can remove a book for the shelves is the managers or manager if they agree with the patron. Ohter than those certin people I don't think a reagular person can remove anything from the shelves.      At the library i go to they have any kind of book, music, movie, and magazine you want. Wether it is a adult content book to a rated r movie they have anything and they get new things every week. So if a person does not want a certin thing on the shelves they should not be able to by themselves take it from the shelves because what if another person wants to see the movie but they can't because a parent took it from the shelf because they did not want their kid being exposed to it. One time at my library i saw a verbal fight between a patron and the library manager the patron did not want the book in the section it was in because they felt it was to provacative for a childrens book. The manager refused to take it off the shelf becasue the library can have whatever books they want on their shelves.Another time i saw a person break a dvd because they thaught children at the age their children were should not be allowed to see those kinds of movies. But breaking the movie is just putting other people that want to see it put because noe htey can't because it is broken.     To summerize everything I do not think citizens should not be allowed to removeantything from the shelves only the managers of the library should be able to remove anyhting if they want",3.0
3393,2,"Should certain materials be removed from your public library? Not everyone has the same views as eachother. What might be offenses to you, @MONTH1 be enjoyable to someone else.      I personally don't believe that anything should be removed from a library, just because something you might not like someone could really enjoy. If you don't want to learn about something you shouldn't take that away from others who do.      I think that if they do start removing things from library shelves they should still be allowed to be viewed to those who want to. Even if you just put them away would be better than taking them out of the library completely.      More and more books are banned everyday, and I personally don't think that's fair to the growing generation who don't get to enjoy the things the old generation have.      So I believe that no books should be removed from library's. If you don't believe or enjoy something doesn't mean someone else wont",3.0
